Time slot,DQNAgent,DoubleDQN,DuelingDQN
241,415.2170315,392.6941988,380.5575542
242,401.1146955,379.8189313,359.8869027
243,444.8931276,399.8003753,410.0223892
244,424.351705,380.2555043,380.6693701
245,427.554305,375.4984477,401.9296727
246,429.5090504,377.9721114,420.9070531
247,443.3766509,388.2666136,423.57793
248,477.8655924,416.7341582,416.7773276
249,481.7033069,417.7363835,416.8524667
250,474.664983,413.3458668,414.3801307
251,429.5414751,370.1663744,388.9900844
252,410.7045573,357.953703,403.7477619
253,424.7179897,371.211662,385.0935963
254,458.1523362,392.9390088,417.881631
255,404.3623521,371.0994683,390.1799508
256,486.90811,428.1742156,427.034123
257,413.2709435,384.0869558,439.4365795
258,472.6916104,412.4143039,413.3268532
259,450.7707959,398.4804023,393.9369386
260,441.4721428,386.4171865,382.1635814
261,392.1882631,338.5709535,405.7544662
262,438.7372523,380.4554093,396.491964
263,427.0800728,388.5384075,408.1096697
264,407.7585374,357.576525,405.5669852
265,463.7220825,390.7839263,422.6884582
266,413.6921167,384.3831889,393.5750792
267,443.8215156,365.3466312,377.8291257
268,432.8731721,394.098461,383.9139345
269,388.62836,344.8365341,403.8519854
270,398.4545708,333.5376559,373.6935325
271,405.4610083,376.7698182,386.1629587
272,419.3770094,358.5368169,419.0523229
273,390.4646705,364.8103229,436.395344
274,404.2946393,363.5973402,414.1958152
275,429.6136921,367.0955284,383.5040971
276,437.8614769,388.0658427,421.2656359
277,423.3271043,390.884954,420.7961945
278,436.7122153,372.0625892,417.4098262
279,390.409966,354.8586701,418.4213357
280,429.4796092,363.049443,378.2175812
281,426.7192075,393.9669108,406.5857586
282,378.6816396,355.2132721,386.7019818
283,438.3274661,369.0267371,392.8345907
284,451.3956483,383.5420141,412.120862
285,433.099887,366.486294,391.8996257
286,430.7063513,364.0537525,411.3022746
287,476.3808978,406.3547416,414.8334257
288,402.9932364,351.303395,384.6758948
289,470.3121628,396.1368045,405.4802149
290,406.7315445,344.7616584,402.8291319
291,447.2864617,377.2419738,389.9679098
292,379.9685447,344.0091575,418.870454
293,433.8484492,367.9922463,402.9048948
294,376.0851151,334.8186931,378.5564607
295,466.2719722,391.2342014,412.4385661
296,387.7714018,342.3719904,422.9565895
297,453.113314,381.9686716,396.7886837
298,393.1367162,335.9711223,382.3815027
299,459.3589016,384.0676467,410.6015922
300,463.5041025,388.7865351,443.1541507
301,457.069954,380.2692251,432.8699247
302,371.1226064,313.1736945,332.0434422
303,420.2980632,356.1376821,403.6520935
304,397.384187,341.3270384,408.6821078
305,391.2023036,340.8036721,415.7728432
306,404.0381172,377.8219742,390.0219598
307,398.3264628,347.7458105,398.1391139
308,400.8395733,342.6775347,386.7454014
309,446.9632848,378.8419962,400.9438432
310,401.3983823,357.8446887,437.9054521
311,385.0963886,321.1551672,406.4781603
312,380.7726908,335.4803977,364.8170113
313,423.3375232,362.0346054,398.3306898
314,435.2275567,360.0948553,387.553243
315,419.7337298,344.2224306,415.618861
316,402.8407377,346.670088,410.4595773
317,428.2867614,353.8606626,427.5329068
318,447.7540647,371.27607,392.1337092
319,394.7642111,347.3257163,394.3930172
320,462.0967935,386.7361532,415.383643
321,381.7978934,326.6770544,419.5521536
322,388.8687312,320.2587459,412.9520967
323,396.471087,349.5898809,403.299563
324,429.8702605,354.555355,391.5378859
325,386.2139123,329.5133555,371.5380798
